experiment,parameter,value,vocab_size,nonzero_pairs,embedding_dim,final_loss,analogy_accuracy,analogy_evaluated,analogy_oov,OOV_rate,training_time,peak_gpu_memory_mb,window_size,min_frequency,epochs
embedding_dim,embedding_dim,50,20000,1109952,50,0.01597831255835741,0.1875,16,0,0.0,19.09927529998822,86.44,1,5,30
embedding_dim,embedding_dim,100,20000,1109952,100,0.011541334793503458,0.1875,16,0,0.0,26.075376799999503,118.7,1,5,30
embedding_dim,embedding_dim,200,20000,1109952,200,0.008596988934543467,0.125,16,0,0.0,41.50708440000017,197.09,1,5,30
window_size,window_size,1,20000,1109952,100,0.011541334525432058,0.1875,16,0,0.0,25.91791239999293,118.7,1,5,30
window_size,window_size,2,20000,2189235,100,0.012002815866016094,0.1875,16,0,0.0,51.969679200003156,118.68,2,5,30
window_size,window_size,5,20000,4901453,100,0.011740415991201016,0.3125,16,0,0.0,117.03909640001075,118.68,5,5,30
min_frequency,min_frequency,1,20000,1109952,100,0.011541335161242429,0.1875,16,0,0.0,25.895843099991907,118.7,1,1,30
min_frequency,min_frequency,5,20000,1109952,100,0.011541334800377083,0.1875,16,0,0.0,25.91832510000677,118.7,1,5,30
min_frequency,min_frequency,10,13111,998516,100,0.012869829933425647,0.1875,16,0,0.0,18.562118500005454,94.87,1,10,30
epochs,epochs,10,20000,1109952,100,0.028074739473278338,0.125,16,0,0.0,8.672414000000572,118.7,1,5,10
epochs,epochs,20,20000,1109952,100,0.01675477669133603,0.1875,16,0,0.0,17.23449370000162,118.7,1,5,20
epochs,epochs,30,20000,1109952,100,0.011541334724767201,0.1875,16,0,0.0,26.58747179999773,118.7,1,5,30
