model,query,rank,neighbor,cosine_similarity
custom-wikitext2,king,1,james,0.884016
custom-wikitext2,king,2,henry,0.871888
custom-wikitext2,king,3,john,0.851058
custom-wikitext2,king,4,wood,0.836002
custom-wikitext2,king,5,constantine,0.835413
custom-wikitext2,king,6,othniel,0.831089
custom-wikitext2,king,7,edward,0.830692
custom-wikitext2,king,8,captain,0.828651
custom-wikitext2,king,9,william,0.793133
custom-wikitext2,king,10,veera,0.786516
custom-wikitext2,computer,1,science,0.829149
custom-wikitext2,computer,2,fiction,0.825813
custom-wikitext2,computer,3,stories,0.760753
custom-wikitext2,computer,4,raffles,0.736688
custom-wikitext2,computer,5,household,0.726619
custom-wikitext2,computer,6,recordings,0.706118
custom-wikitext2,computer,7,police,0.703277
custom-wikitext2,computer,8,rapid,0.692218
custom-wikitext2,computer,9,christianity,0.691953
custom-wikitext2,computer,10,chemical,0.690823
custom-wikitext2,city,1,bradford,0.88157
custom-wikitext2,city,2,kansas,0.880362
custom-wikitext2,city,3,norwich,0.855582
custom-wikitext2,city,4,york,0.828246
custom-wikitext2,city,5,town,0.820186
custom-wikitext2,city,6,cass,0.816643
custom-wikitext2,city,7,council,0.814063
custom-wikitext2,city,8,largest,0.8018
custom-wikitext2,city,9,birmingham,0.789083
custom-wikitext2,city,10,hull,0.778236
custom-wikitext2,government,1,federal,0.956103
custom-wikitext2,government,2,canadian,0.851865
custom-wikitext2,government,3,isles,0.848287
custom-wikitext2,government,4,fountain,0.846133
custom-wikitext2,government,5,festival,0.845188
custom-wikitext2,government,6,museum,0.842483
custom-wikitext2,government,7,ring,0.839615
custom-wikitext2,government,8,carnation,0.833535
custom-wikitext2,government,9,fur,0.830719
custom-wikitext2,government,10,plot,0.826383
custom-wikitext2,music,1,videos,0.922375
custom-wikitext2,music,2,video,0.912314
custom-wikitext2,music,3,sheet,0.868341
custom-wikitext2,music,4,awards,0.859801
custom-wikitext2,music,5,folk,0.800675
custom-wikitext2,music,6,sony,0.769057
custom-wikitext2,music,7,grammy,0.761975
custom-wikitext2,music,8,boxing,0.758766
custom-wikitext2,music,9,selling,0.754978
custom-wikitext2,music,10,accompanying,0.754213
glove.6B.100d,king,1,prince,0.768233
glove.6B.100d,king,2,queen,0.750769
glove.6B.100d,king,3,son,0.702089
glove.6B.100d,king,4,brother,0.698578
glove.6B.100d,king,5,monarch,0.697789
glove.6B.100d,king,6,throne,0.691999
glove.6B.100d,king,7,kingdom,0.681141
glove.6B.100d,king,8,father,0.680203
glove.6B.100d,king,9,emperor,0.671286
glove.6B.100d,king,10,ii,0.667607
glove.6B.100d,computer,1,computers,0.875198
glove.6B.100d,computer,2,software,0.837312
glove.6B.100d,computer,3,technology,0.764216
glove.6B.100d,computer,4,pc,0.736645
glove.6B.100d,computer,5,hardware,0.729039
glove.6B.100d,computer,6,internet,0.728678
glove.6B.100d,computer,7,desktop,0.723444
glove.6B.100d,computer,8,electronic,0.722183
glove.6B.100d,computer,9,systems,0.719792
glove.6B.100d,computer,10,computing,0.714173
glove.6B.100d,city,1,town,0.82639
glove.6B.100d,city,2,cities,0.776433
glove.6B.100d,city,3,where,0.754779
glove.6B.100d,city,4,area,0.745844
glove.6B.100d,city,5,downtown,0.743754
glove.6B.100d,city,6,capital,0.71345
glove.6B.100d,city,7,southern,0.707014
glove.6B.100d,city,8,near,0.702773
glove.6B.100d,city,9,neighborhood,0.69545
glove.6B.100d,city,10,suburb,0.692517
glove.6B.100d,government,1,administration,0.7937
glove.6B.100d,government,2,governments,0.770093
glove.6B.100d,government,3,officials,0.759048
glove.6B.100d,government,4,authorities,0.744184
glove.6B.100d,government,5,opposition,0.737171
glove.6B.100d,government,6,saying,0.733552
glove.6B.100d,government,7,official,0.732408
glove.6B.100d,government,8,country,0.731955
glove.6B.100d,government,9,promised,0.729515
glove.6B.100d,government,10,military,0.728895
glove.6B.100d,music,1,musical,0.812804
glove.6B.100d,music,2,songs,0.797818
glove.6B.100d,music,3,dance,0.789651
glove.6B.100d,music,4,pop,0.786294
glove.6B.100d,music,5,recording,0.765077
glove.6B.100d,music,6,folk,0.760261
glove.6B.100d,music,7,jazz,0.75701
glove.6B.100d,music,8,concert,0.746794
glove.6B.100d,music,9,artists,0.732477
glove.6B.100d,music,10,song,0.731916
